a christmas tale h c andersen.txt, 72.70, 62.70, 63.83, 64.97, 72.74, 72.37, 68.43, 63.98, 63.86, 66.46
a confidant without knowing it or the stratagem la fontain.txt, 51.34, 52.14, 52.93, 47.97, 44.15, 42.00, 47.32, 50.71, 45.30, 55.79
a lac of rupees for a bit of advice indian writer.txt, 66.92, 60.35, 65.43, 65.21, 71.87, 66.58, 67.67, 65.77, 70.67, 71.35
a leaf from the sky h c andersen.txt, 29.16, 28.89, 27.73, 28.54, 34.54, 23.71, 27.09, 28.30, 21.06, 26.24
a riddling tale brothers grimm.txt, 4.529, 4.672, 4.323, 3.424, 3.887, 3.218, 5.511, 2.535, 2.689, 2.008
a story from the sand dunes h c andersen.txt, 465.0, 430.7, 431.6, 419.8, 411.2, 419.4, 432.3, 419.8, 425.8, 420.2
a story of old japan japanese writer.txt, 159.8, 158.1, 159.9, 161.4, 148.0, 153.7, 140.8, 135.9, 134.9, 135.8
a terrible fright arthur scott bailey.txt, 16.75, 9.741, 12.69, 12.61, 15.27, 16.43, 13.09, 12.49, 16.64, 8.862
alice sick la fontain.txt, 2.852, 4.514, 3.775, 5.574, 3.190, 2.805, 4.061, 2.956, 3.154, 3.959
allerleirauh brothers grimm.txt, 61.95, 64.79, 64.75, 53.73, 57.43, 59.99, 49.99, 49.59, 52.89, 51.13
an imitation of anacreon la fontain.txt, 1.302, 1.462, 3.424, 2.866, 4.984, 4.224, 3.525, 3.370, 0.6730, 1.281
an old chinese story japanese writer.txt, 72.48, 72.62, 72.96, 82.59, 71.43, 65.98, 67.01, 82.82, 83.40, 79.54
anne lisbeth h c andersen.txt, 13.60, 13.88, 9.491, 11.03, 12.52, 9.881, 12.68, 7.679, 10.83, 9.345
bearskin brothers grimm.txt, 48.67, 43.78, 44.78, 50.13, 54.13, 48.42, 53.44, 49.96, 59.37, 51.47
belphegor addressed to miss de chammelay la fontain.txt, 72.30, 66.12, 70.26, 72.53, 66.93, 62.94, 64.98, 63.22, 56.48, 58.98
briar rose brothers grimm.txt, 34.61, 36.08, 36.49, 34.19, 35.90, 34.67, 36.69, 35.54, 32.99, 33.61
brides on their trial brothers grimm.txt, 4.645, 5.960, 4.169, 4.129, 4.131, 4.166, 4.067, 3.064, 3.922, 3.987
brother lustig brothers grimm.txt, 98.52, 96.00, 102.2, 107.1, 105.6, 103.4, 102.0, 107.6, 97.46, 91.87
cat and mouse in partnership brothers grimm.txt, 30.44, 30.28, 25.31, 24.14, 30.29, 29.12, 26.75, 25.98, 26.84, 26.65
charming h c andersen.txt, 76.06, 77.22, 76.56, 77.40, 66.60, 71.67, 76.20, 82.77, 71.54, 76.74
cinderella brothers grimm.txt, 77.05, 65.09, 62.33, 61.76, 66.31, 68.73, 69.83, 69.53, 64.75, 68.82
clever elsie brothers grimm.txt, 37.08, 29.29, 30.33, 31.00, 37.14, 32.13, 34.56, 38.43, 32.36, 28.57
clever grethel brothers grimm.txt, 27.79, 23.12, 25.96, 24.24, 26.64, 28.97, 28.59, 25.07, 21.39, 21.73
clever hans brothers grimm.txt, 22.01, 19.74, 23.81, 24.78, 20.84, 26.44, 25.10, 23.18, 24.63, 22.92
death s messengers brothers grimm.txt, 14.43, 12.43, 15.52, 16.69, 13.77, 14.13, 15.62, 14.17, 14.67, 11.67
doctor knowall brothers grimm.txt, 22.34, 18.38, 23.23, 19.51, 18.31, 17.34, 20.25, 19.16, 20.30, 21.35
donkey cabbages brothers grimm.txt, 70.53, 67.15, 75.37, 65.01, 58.75, 62.60, 71.00, 73.06, 63.55, 69.77
eighth evening h c andersen.txt, 6.263, 7.199, 7.648, 7.502, 5.090, 9.075, 7.458, 10.10, 7.666, 7.080
evaporated apples arthur scott bailey.txt, 5.184, 6.709, 7.119, 6.280, 5.597, 5.248, 3.988, 6.289, 5.187, 5.145
eve s various children brothers grimm.txt, 18.57, 18.54, 16.99, 16.55, 12.31, 17.60, 13.83, 7.346, 20.68, 20.27
everything in its right place h c andersen.txt, 80.55, 90.19, 102.8, 104.9, 101.9, 99.02, 108.0, 91.02, 86.27, 95.03
fair katrinelje and pif paf poltrie brothers grimm.txt, 3.951, 7.928, 8.416, 6.768, 9.292, 7.251, 8.066, 11.60, 5.072, 4.071
faithful john brothers grimm.txt, 69.37, 77.89, 76.91, 92.06, 80.11, 82.43, 82.45, 76.50, 72.00, 80.58
fatty and the green corn arthur scott bailey.txt, 14.54, 15.00, 18.40, 13.83, 15.87, 16.36, 13.41, 15.61, 13.58, 14.41
fatty coon and the monster arthur scott bailey.txt, 13.50, 11.87, 14.86, 13.64, 14.75, 14.36, 9.160, 10.13, 14.04, 10.03
fatty coon at home arthur scott bailey.txt, 15.91, 15.27, 15.98, 16.16, 15.13, 19.37, 14.22, 19.16, 16.38, 13.12
fatty coon goes fishing arthur scott bailey.txt, 12.13, 15.91, 15.64, 15.56, 13.69, 9.894, 13.15, 13.10, 12.22, 12.60
fatty coon plays robber arthur scott bailey.txt, 19.65, 17.91, 18.84, 14.92, 19.44, 17.99, 17.58, 20.46, 18.73, 15.68
fatty coon s mistake arthur scott bailey.txt, 14.35, 11.52, 13.62, 16.12, 17.44, 15.30, 15.34, 12.68, 13.56, 11.59
fatty discovers mrs. turtle s secret arthur scott bailey.txt, 13.57, 17.32, 17.93, 14.21, 13.99, 15.07, 15.38, 14.63, 17.18, 15.85
fatty finds the moon arthur scott bailey.txt, 16.83, 16.51, 16.97, 16.04, 13.17, 13.30, 12.75, 14.43, 16.54, 17.28
fatty grows even fatter arthur scott bailey.txt, 7.673, 9.750, 8.119, 10.13, 8.154, 8.978, 8.862, 7.244, 10.79, 9.938
fatty learns something about eggs arthur scott bailey.txt, 20.78, 20.76, 17.12, 21.85, 22.39, 16.87, 20.40, 18.21, 16.07, 21.29
fatty meets jimmy rabbit arthur scott bailey.txt, 15.76, 22.68, 23.12, 18.39, 19.39, 17.92, 17.41, 16.72, 19.30, 17.75
fatty visits the smoke house arthur scott bailey.txt, 20.53, 17.54, 20.75, 18.97, 19.59, 19.99, 17.13, 17.71, 17.27, 16.51
ferdinand the faithful brothers grimm.txt, 53.53, 56.84, 48.39, 45.20, 39.46, 37.01, 50.63, 47.00, 50.36, 40.45
feronde la fontain.txt, 46.94, 53.41, 53.23, 45.29, 42.88, 42.20, 40.95, 41.80, 49.61, 51.71
fifth evening h c andersen.txt, 12.09, 13.42, 11.52, 13.58, 12.86, 15.15, 13.06, 14.04, 16.75, 13.22
fitcher s bird brothers grimm.txt, 40.31, 33.84, 37.72, 29.95, 38.95, 37.12, 33.43, 34.85, 30.51, 34.40
forty fat turkeys arthur scott bailey.txt, 13.54, 18.90, 14.00, 19.92, 19.03, 16.17, 16.94, 16.89, 16.18, 17.75
fourteenth evening h c andersen.txt, 6.969, 11.40, 10.58, 10.38, 12.28, 11.38, 8.419, 10.96, 13.46, 13.70
fourth evening h c andersen.txt, 9.750, 13.76, 8.175, 8.084, 11.55, 9.421, 9.530, 10.76, 8.872, 9.885
frau trude brothers grimm.txt, 6.782, 8.966, 8.419, 6.303, 6.169, 6.830, 4.604, 5.240, 8.821, 6.956
frederick and catherine brothers grimm.txt, 65.53, 64.89, 68.15, 61.16, 70.01, 66.64, 68.43, 38.98, 56.05, 61.27
friar philip s geese la fontain.txt, 32.53, 39.48, 41.04, 41.55, 40.92, 31.76, 36.59, 43.04, 47.31, 39.29
fundevogel bird foundling brothers grimm.txt, 26.52, 27.07, 19.82, 23.18, 25.50, 24.53, 25.45, 20.39, 23.50, 21.73
gambling hansel brothers grimm.txt, 21.14, 23.13, 20.02, 21.64, 23.79, 19.95, 17.09, 13.22, 16.35, 18.38
godfather death brothers grimm.txt, 37.38, 26.97, 36.16, 29.18, 31.38, 27.44, 33.84, 29.73, 35.61, 34.59
going a travelling brothers grimm.txt, 11.68, 7.529, 6.956, 10.97, 11.14, 9.965, 11.93, 7.519, 6.592, 11.07
good humour h c andersen.txt, 43.39, 39.42, 44.81, 39.60, 37.74, 41.64, 48.72, 49.98, 42.47, 38.10
hans carvel s ring la fontain.txt, 4.519, 4.187, 5.408, 4.851, 5.888, 5.886, 6.174, 6.572, 7.380, 5.951
hans in luck brothers grimm.txt, 52.66, 53.08, 60.14, 50.78, 56.63, 53.57, 54.09, 50.12, 49.14, 48.06
hans married brothers grimm.txt, 14.01, 10.67, 14.33, 15.68, 11.35, 12.98, 13.03, 10.45, 11.01, 8.443
hans the hedgehog brothers grimm.txt, 53.56, 48.30, 55.01, 57.01, 51.06, 60.25, 44.33, 47.64, 51.80, 58.78
hansel and grethel brothers grimm.txt, 71.93, 81.91, 84.28, 85.96, 80.53, 78.74, 82.38, 74.19, 70.81, 79.48
harisaman indian writer.txt, 34.95, 31.90, 32.42, 32.12, 34.05, 30.31, 30.50, 34.26, 36.66, 32.42
herr korbes brothers grimm.txt, 12.30, 9.411, 10.18, 5.935, 8.178, 8.007, 11.04, 9.680, 6.443, 7.978
how an old man lost his wen japanese writer.txt, 60.28, 59.65, 64.04, 60.73, 58.15, 57.00, 70.33, 55.78, 55.37, 57.31
how six men got on in the world brothers grimm.txt, 53.68, 60.56, 49.41, 59.78, 48.32, 55.62, 55.47, 57.10, 56.10, 52.70
how sun moon and wind went out to dinner indian writer.txt, 8.274, 14.62, 15.16, 11.88, 10.68, 12.36, 11.69, 11.47, 9.397, 16.15
how the raja s son won the princess labam indian writer.txt, 105.6, 93.67, 98.89, 101.9, 118.5, 114.9, 119.2, 107.6, 100.7, 106.0
how the wicked sons were duped indian writer.txt, 8.103, 6.907, 8.828, 7.437, 6.896, 8.442, 8.196, 9.201, 9.694, 7.951
ib and christine h c andersen.txt, 128.9, 120.4, 108.1, 116.2, 132.4, 117.9, 130.4, 131.0, 129.1, 124.8
in the duck yard h c andersen.txt, 58.25, 56.18, 65.15, 63.43, 60.73, 62.60, 62.77, 52.70, 57.67, 51.45
in the uttermost parts of the sea h c andersen.txt, 21.26, 27.38, 26.35, 24.93, 24.52, 29.57, 25.76, 27.62, 19.90, 24.64
indianfairytales the boy who had a moon on his forehead and a star on his chin indian writer.txt, 162.1, 195.7, 185.1, 171.2, 181.9, 196.8, 189.9, 180.4, 199.0, 181.6
iron john brothers grimm.txt, 72.91, 83.74, 80.60, 70.40, 83.34, 72.72, 82.49, 79.30, 88.10, 88.64
jack the dullard an old story told anew h c andersen.txt, 52.71, 45.22, 44.14, 37.09, 37.83, 43.70, 44.79, 35.88, 42.15, 44.55
jasper jay tells some news arthur scott bailey.txt, 18.34, 15.49, 16.02, 16.23, 14.32, 13.07, 10.72, 16.37, 18.97, 15.31
joconde la fontain.txt, 109.4, 98.16, 99.11, 93.44, 107.1, 106.6, 114.3, 94.15, 106.6, 107.6
johnnie green is disappointed arthur scott bailey.txt, 16.09, 15.31, 19.11, 19.11, 17.89, 18.13, 15.61, 18.21, 15.42, 19.42
johnnie green loses his pet arthur scott bailey.txt, 14.37, 12.04, 12.01, 11.49, 12.68, 13.05, 11.20, 15.05, 11.89, 13.75
jorinda and joringel brothers grimm.txt, 19.61, 29.89, 22.39, 24.82, 25.36, 21.24, 19.26, 25.39, 22.16, 22.71
king candaules and the doctor of laws la fontain.txt, 85.99, 79.49, 75.07, 85.10, 78.89, 77.45, 81.73, 73.47, 73.39, 67.87
king thrushbeard brothers grimm.txt, 40.86, 40.61, 40.20, 39.05, 45.56, 42.25, 39.59, 46.56, 44.28, 44.69
knoist and his three sons brothers grimm.txt, 2.794, 4.857, 2.940, 3.545, 3.858, 5.638, 2.881, 7.578, 4.604, 5.040
lazy harry brothers grimm.txt, 27.24, 28.51, 27.36, 24.19, 30.16, 23.20, 25.32, 27.82, 23.05, 25.91
lean lisa brothers grimm.txt, 11.04, 12.66, 11.83, 11.93, 13.23, 13.45, 10.71, 12.23, 9.080, 8.571
little brother and little sister brothers grimm.txt, 70.12, 67.39, 61.27, 55.00, 52.30, 55.97, 60.25, 68.85, 60.08, 62.54
little red cap brothers grimm.txt, 38.31, 34.63, 37.12, 38.29, 38.52, 34.06, 37.22, 35.87, 36.52, 34.65
little snow white brothers grimm.txt, 71.86, 79.06, 87.62, 86.23, 74.05, 70.85, 67.49, 75.12, 74.81, 71.97
loving laili indian writer.txt, 116.4, 101.1, 96.66, 116.1, 105.3, 106.9, 129.6, 110.7, 97.82, 94.61
maid maleen brothers grimm.txt, 56.21, 54.30, 57.11, 52.42, 43.34, 50.61, 34.62, 35.09, 44.54, 54.69
master pfriem master cobbler s awl brothers grimm.txt, 31.31, 37.21, 35.43, 33.01, 36.38, 30.92, 34.93, 37.48, 35.75, 41.39
momotaro or the story of the son of a peach japanese writer.txt, 136.5, 119.1, 131.4, 114.6, 112.4, 106.5, 113.9, 121.3, 113.2, 119.9
mother holle brothers grimm.txt, 28.42, 25.86, 27.22, 32.78, 28.76, 30.05, 29.54, 23.47, 28.14, 28.25
mrs. tiggy winkle s beatrix potter.txt, 15.00, 14.13, 18.04, 18.57, 18.62, 13.84, 16.27, 18.27, 18.44, 15.69
my lord bag of rice japanese writer.txt, 56.61, 57.96, 51.39, 58.43, 64.64, 54.64, 61.58, 62.69, 60.74, 64.83
neighbour peter s mare la fontain.txt, 46.79, 48.08, 39.58, 45.60, 42.84, 48.42, 37.94, 41.65, 38.79, 43.24
nicaise la fontain.txt, 55.58, 57.76, 58.10, 45.20, 52.32, 57.06, 51.05, 44.95, 45.31, 47.80
nineteenth evening h c andersen.txt, 10.22, 12.05, 12.81, 10.73, 10.71, 15.40, 13.62, 9.610, 12.70, 10.53
ninth evening h c andersen.txt, 17.04, 17.40, 15.44, 14.17, 12.94, 16.42, 14.57, 11.41, 17.66, 15.95
odds and ends brothers grimm.txt, 4.618, 4.207, 3.180, 7.281, 7.764, 7.349, 5.713, 5.604, 4.838, 5.519
old rinkrank brothers grimm.txt, 18.76, 16.67, 22.08, 19.25, 18.13, 11.67, 16.51, 17.22, 14.60, 22.41
old sultan brothers grimm.txt, 20.85, 22.93, 21.33, 22.05, 24.41, 18.45, 22.11, 20.69, 19.87, 26.54
ole the tower keeper h c andersen.txt, 6.584, 11.26, 10.73, 13.30, 12.55, 8.695, 11.86, 13.03, 9.846, 11.83
one eye two eyes and three eyes brothers grimm.txt, 63.70, 60.55, 74.34, 65.29, 68.02, 62.76, 72.61, 67.39, 70.78, 75.93
our lady s child brothers grimm.txt, 53.66, 52.07, 43.26, 44.45, 45.55, 48.47, 47.41, 41.31, 44.29, 43.75
prince ahmed and the fairy arabian writer.txt, 273.8, 312.1, 273.6, 288.3, 294.9, 310.1, 281.6, 299.8, 286.3, 252.3
prince beder and the princess giauhara arabian writer.txt, 406.7, 377.1, 405.2, 405.3, 417.4, 424.2, 384.4, 398.7, 398.1, 393.7
prince camaralzaman and the princess of china arabian writer.txt, 372.4, 358.3, 350.2, 336.2, 362.1, 360.8, 371.6, 375.3, 373.8, 362.0
punchkin indian writer.txt, 136.4, 128.0, 127.8, 115.5, 141.4, 135.5, 140.3, 138.8, 140.1, 117.1
raja rasalu indian writer.txt, 104.7, 97.37, 91.62, 81.15, 91.51, 96.85, 87.94, 84.01, 86.39, 88.62
rapunzel brothers grimm.txt, 46.20, 28.04, 30.82, 39.75, 37.94, 31.86, 37.43, 30.61, 29.77, 31.70
richard minutolo la fontain.txt, 56.76, 52.21, 55.21, 47.67, 49.85, 44.99, 49.31, 44.64, 51.29, 53.02
rumpelstiltskin brothers grimm.txt, 30.44, 23.76, 26.98, 32.79, 29.99, 27.64, 25.36, 23.53, 33.14, 24.14
samurai japanese writer.txt, 11.37, 10.70, 13.28, 13.10, 14.67, 13.76, 10.50, 12.37, 16.48, 17.30
seventh evening h c andersen.txt, 20.61, 14.52, 21.85, 20.46, 19.16, 23.29, 16.77, 19.76, 19.94, 19.06
sharing joy and sorrow brothers grimm.txt, 9.628, 7.656, 10.82, 6.833, 5.744, 10.25, 10.94, 6.497, 8.153, 10.03
she was good for nothing h c andersen.txt, 77.35, 79.55, 75.86, 79.30, 78.00, 86.11, 76.09, 71.72, 87.06, 81.39
simeli mountain brothers grimm.txt, 22.21, 21.15, 22.28, 25.11, 20.98, 23.91, 21.88, 24.61, 20.52, 16.22
sister jane la fontain.txt, 0.000, 3.322, 0.7710, 0.9580, 1.869, 1.926, 2.373, 1.658, 2.680, 3.948
snow white and rose red brothers grimm.txt, 65.23, 72.66, 58.11, 63.17, 63.37, 57.31, 62.17, 62.43, 60.63, 66.53
something h c andersen.txt, 75.76, 77.85, 73.33, 84.79, 80.34, 69.76, 74.07, 79.72, 72.91, 64.44
soup on a sausage peg h c andersen.txt, 157.3, 163.0, 146.4, 137.0, 150.7, 143.2, 153.0, 147.5, 134.1, 139.6
st. julian s prayer la fontain.txt, 85.46, 75.11, 71.17, 77.58, 92.49, 89.72, 94.06, 92.99, 85.85, 82.10
stories about snakes brothers grimm.txt, 12.99, 12.95, 16.69, 15.31, 15.35, 13.37, 15.35, 12.62, 11.84, 9.626
strong hans brothers grimm.txt, 70.78, 66.65, 68.14, 72.53, 64.19, 58.04, 65.20, 64.72, 59.84, 67.79
sweet porridge brothers grimm.txt, 6.521, 7.324, 7.278, 7.539, 7.701, 8.407, 6.942, 6.320, 6.582, 6.939
sweetheart roland brothers grimm.txt, 42.02, 36.40, 38.75, 30.75, 41.42, 39.51, 34.16, 43.92, 40.03, 43.47
tenth evening h c andersen.txt, 12.58, 11.95, 12.90, 12.03, 13.61, 10.76, 10.60, 13.88, 11.59, 9.530
the adventures of kintaro the golden boy japanese writer.txt, 66.98, 76.80, 63.25, 68.27, 71.02, 70.38, 70.43, 62.35, 73.39, 76.86
the amorous courtesan la fontain.txt, 70.79, 72.84, 72.42, 66.04, 68.01, 72.19, 59.04, 65.28, 75.82, 76.32
the avaricious wife and tricking gallant la fontain.txt, 16.01, 16.13, 15.34, 16.08, 19.89, 15.92, 16.82, 17.79, 13.84, 13.06
the bamboo cutter and the moon child japanese writer.txt, 174.0, 151.5, 155.5, 148.2, 151.3, 144.8, 135.8, 132.4, 147.9, 142.7
the barber shop again arthur scott bailey.txt, 16.47, 21.73, 23.05, 19.36, 18.18, 16.34, 18.53, 13.90, 16.14, 23.70
the beetle h c andersen.txt, 89.95, 75.51, 80.11, 81.84, 74.65, 77.51, 86.29, 78.73, 80.67, 83.21
